,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
0,103941,2582112.5,119,24.39,25.05,24.02,24.84
1,232703,5961554.06,167,24.7,26.0,24.7,25.62
2,76886,1956936.75,117,25.3,25.85,25.07,25.45
3,64687,1620033.52,91,25.16,25.16,24.87,25.04
4,49786,1242881.47,62,25.04,25.19,24.66,24.96
5,63391,1534879.32,85,24.66,24.73,24.0,24.21
6,19134,459683.25,47,24.1,24.4,23.8,24.02
7,7835,188310.35,19,24.36,24.36,23.77,24.03
8,6744,158682.3,29,23.6,23.7,23.32,23.53
9,13417,316964.6,37,23.5,23.8,23.4,23.62
10,15430,359230.94,30,23.32,23.99,23.2,23.28
11,30900,703051.57,51,23.98,23.98,22.5,22.75
12,36437,817517.46,59,22.51,22.51,22.0,22.44
13,48203,1102483.74,42,22.8,23.48,22.5,22.87
14,10598,248621.51,39,22.81,23.79,22.81,23.46
15,10734,249226.95,17,22.2,23.6,22.2,23.22
16,4594,105150.3,12,22.73,23.0,22.73,22.89
17,24221,539938.67,41,22.25,23.0,21.75,22.29
18,5000,116186.0,11,23.4,23.4,23.01,23.24
19,25909,600052.67,69,22.75,23.75,22.32,23.16
20,16587,394056.85,25,23.4,24.0,23.4,23.76
21,19562,467042.98,28,23.77,24.25,23.5,23.88
22,28386,681260.41,41,24.25,24.25,23.5,24.0
23,6955,164564.3,24,24.0,24.0,23.34,23.66
24,46724,1112672.28,72,23.95,24.0,23.37,23.81
25,2622,62653.7,8,24.15,24.15,23.64,23.9
26,12597,298357.27,16,23.45,23.9,23.45,23.68
27,13535,324586.86,29,23.7,24.16,23.7,23.98
28,50767,1219392.28,54,24.0,24.19,23.85,24.02
29,5300,127529.77,12,24.1,24.2,24.01,24.06
30,8059,192337.15,7,23.85,23.95,23.85,23.87
31,24869,595613.15,24,23.66,24.0,23.6,23.95
32,24489,583306.12,33,23.99,24.0,23.5,23.82
33,26230,611120.31,51,23.5,23.5,23.12,23.3
34,130312,2996916.44,57,23.12,23.7,22.71,23.0
35,19200,436013.77,46,22.7,22.81,22.51,22.71
36,19510,438769.0,11,22.7,22.7,22.4,22.49
37,24499,546364.05,36,22.46,22.49,22.25,22.3
38,35650,778299.96,86,22.5,22.5,21.27,21.83
39,6684,145559.38,7,21.83,21.89,21.52,21.78
40,30375,645015.15,60,21.3,21.78,21.0,21.24
41,16147,329256.56,27,21.0,21.0,20.17,20.39
42,15356,312406.83,35,20.3,20.65,20.0,20.34
43,44476,886035.98,66,20.06,20.59,19.66,19.92
44,26504,547706.55,38,20.0,20.9,20.0,20.67
45,14860,311672.84,24,20.85,21.15,20.7,20.97
46,760473,16196593.69,31,21.14,21.39,21.13,21.3
47,15191,320115.1,28,21.4,21.5,21.0,21.07
48,11850,247384.45,23,20.85,21.0,20.8,20.88
49,29611,621287.83,41,20.78,21.01,20.77,20.98
50,30296,636216.0,37,21.0,21.0,21.0,21.0
51,16815,344285.6,63,20.6,20.95,19.21,20.47
52,7299,150033.49,22,20.02,20.9,20.02,20.56
53,12111,252053.05,24,20.55,21.0,20.11,20.81
54,5199,109178.0,22,21.0,21.0,20.99,21.0
55,7290,152717.55,15,20.66,21.2,20.66,20.95
56,5000,103285.0,12,20.5,20.98,20.41,20.66
57,2129,43317.25,8,20.31,20.5,20.25,20.35
58,9817,198178.64,27,20.2,20.5,20.1,20.19
59,31405,651844.48,86,20.69,21.35,20.69,20.76
60,6619,136155.37,19,20.71,20.71,20.41,20.57
61,5608,114746.1,12,20.99,20.99,20.31,20.46
62,17744,363226.88,26,20.5,20.85,20.27,20.47
63,5482,109979.25,17,20.2,20.2,20.0,20.06
64,13205,271819.74,35,20.47,20.95,20.01,20.58
65,10,209.0,1,20.9,20.9,20.9,20.58
66,12274,255932.6,26,20.5,21.3,20.15,20.85
67,28449,598091.9,49,21.0,21.4,20.65,21.02
68,44102,961601.73,78,21.02,22.77,21.02,21.8
69,38645,878314.75,70,22.7,23.15,22.26,22.73
70,39590,897471.83,105,22.95,22.96,22.3,22.67
71,32726,733086.58,75,22.36,22.51,22.22,22.4
72,15370,344698.5,22,22.5,22.5,22.26,22.43
73,27352,611265.9,46,22.3,22.75,22.15,22.35
74,140818,3168624.92,57,22.65,22.69,22.21,22.5
75,1509,33744.93,8,22.2,22.67,22.18,22.36
76,6900,156428.0,9,22.5,22.85,22.5,22.67
77,24970,566678.3,27,22.9,23.09,22.55,22.69
