,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
0,294968,6898653.75,88,24.0,24.1,23.3,23.39
1,171442,4148795.12,307,24.0,24.65,24.0,24.2
2,21793,523036.3,34,24.01,24.01,23.99,24.0
3,41324,984017.22,58,23.99,24.0,23.36,23.81
4,39909,945594.2,48,23.81,23.99,23.5,23.69
5,19600,460116.06,19,23.6,23.6,23.3,23.48
6,4872,114345.0,9,23.31,23.51,23.31,23.47
7,16803,394708.71,27,23.5,23.5,23.41,23.49
8,60078,1423800.05,35,23.12,23.95,23.0,23.7
9,3100,73266.0,8,23.74,23.74,23.5,23.63
10,14332,336814.01,27,23.51,23.51,23.5,23.5
11,4389,102346.4,18,23.06,23.57,23.06,23.32
12,2033,47239.41,6,22.61,23.3,22.61,23.24
13,39491,928427.6,22,23.45,23.7,23.45,23.51
14,33449,786442.9,28,23.2,23.6,23.2,23.51
15,280,6467.4,2,23.1,23.1,23.08,23.51
16,3470,80609.0,8,23.42,23.5,23.0,23.23
17,750,17043.0,4,22.65,22.8,22.65,22.72
18,199299,4544734.06,24,23.0,23.4,22.8,22.8
19,12609,289071.45,17,23.0,23.0,22.51,22.93
20,13312,306100.58,24,23.0,23.0,22.61,22.99
21,18108,415053.64,40,23.39,23.39,22.5,22.92
22,13353,307190.8,37,23.0,23.06,22.99,23.01
23,5957,136996.32,16,23.0,23.0,22.95,23.0
24,11958,274731.0,15,23.0,23.0,22.7,22.97
25,30910,710935.75,27,23.0,23.1,22.76,23.0
26,35078,806763.9,51,22.93,23.0,22.66,23.0
27,7048,164900.7,12,23.3,23.4,23.3,23.4
28,3875,89069.5,12,22.9,23.01,22.87,22.99
29,15928,366345.5,27,23.01,23.01,22.9,23.0
30,2608,59987.1,7,23.31,23.31,23.0,23.0
31,9208,211770.56,22,23.0,23.0,22.76,23.0
32,14238,327474.0,18,23.0,23.0,23.0,23.0
33,23394,537625.0,39,23.0,23.0,22.85,22.98
34,24259,551434.1,47,23.0,23.0,22.56,22.73
35,31482,723464.16,62,23.28,23.5,22.5,22.98
36,2766,62351.45,7,22.51,22.56,22.5,22.54
37,13440,302481.08,21,22.55,22.7,22.3,22.51
38,10070,225486.06,15,22.23,22.96,22.23,22.39
39,10908,243585.43,30,22.12,22.48,22.0,22.33
40,5250,118101.05,5,22.5,22.85,22.4,22.5
41,2322,51817.24,14,22.45,22.45,21.53,22.32
42,2990,64885.38,14,22.4,22.4,21.5,21.7
43,7394,160114.81,20,21.06,22.0,21.06,21.65
44,149873,3295499.8,83,22.0,22.1,21.92,21.99
45,5852,129757.6,9,22.0,22.5,22.0,22.17
46,1381,30394.0,8,22.4,22.4,22.0,22.01
47,3070,67700.0,4,22.4,22.4,22.0,22.05
48,1361,29956.5,5,22.3,22.3,21.99,22.01
49,14059,302913.72,13,21.99,21.99,21.5,21.55
