,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
0,4819957,22287042.43,927,4.48,4.72,4.46,4.62
1,3627545,17134786.61,945,4.65,4.76,4.63,4.72
2,2607806,12245969.99,607,4.73,4.76,4.64,4.7
3,5684753,26984291.44,866,4.69,4.84,4.6,4.75
4,2980833,14233038.27,648,4.81,4.85,4.73,4.77
5,3306056,15382976.49,812,4.75,4.76,4.6,4.65
6,2224133,10234502.48,441,4.6,4.68,4.56,4.6
7,2104500,9619356.3,643,4.59,4.64,4.51,4.57
8,5940152,25918552.52,716,4.5,4.5,4.29,4.36
9,2120688,9471950.63,613,4.36,4.57,4.36,4.47
10,2165334,9347989.71,662,4.45,4.48,4.22,4.32
11,1494542,6312298.02,494,4.3,4.38,4.14,4.22
12,2087722,8548189.69,576,4.14,4.17,4.03,4.09
13,4606237,19304115.65,802,4.1,4.24,4.1,4.19
14,3266131,13898754.12,681,4.2,4.32,4.17,4.26
15,2664121,11213564.75,543,4.16,4.32,4.03,4.21
16,3044182,12516955.6,745,4.11,4.25,4.05,4.11
17,14398380,57878010.84,901,4.11,4.19,3.97,4.02
18,1368990,5693071.35,500,4.18,4.2,4.1,4.16
19,4765686,20153548.94,1018,4.14,4.34,4.13,4.23
20,2256257,9842554.63,646,4.26,4.41,4.26,4.36
21,2304748,10163809.25,458,4.36,4.45,4.34,4.41
22,1766168,7788021.63,424,4.45,4.46,4.35,4.41
23,2825565,12126636.77,649,4.35,4.36,4.25,4.29
24,2021466,8645799.81,471,4.26,4.32,4.21,4.28
25,1595798,6858324.93,372,4.3,4.37,4.22,4.3
26,2075893,8759299.19,521,4.25,4.28,4.16,4.22
27,3581469,15354379.07,743,4.25,4.32,4.25,4.29
28,3902607,16496159.12,894,4.32,4.32,4.16,4.23
29,2036306,8637850.69,602,4.18,4.28,4.18,4.24
30,1994083,8494360.12,422,4.24,4.31,4.21,4.26
31,1718591,7289765.3,409,4.25,4.3,4.21,4.24
32,2532874,10511565.93,646,4.21,4.24,4.1,4.15
33,1853505,7685489.95,576,4.15,4.19,4.11,4.15
34,2447313,10155157.28,702,4.15,4.18,4.11,4.15
35,885372,3635404.14,306,4.15,4.18,4.05,4.11
36,2256991,9183747.7,507,4.1,4.12,4.04,4.07
37,1297405,5315851.1,702,4.09,4.12,4.07,4.1
38,1590464,6438914.03,505,4.1,4.1,4.02,4.05
39,6266197,25583914.53,797,4.01,4.11,4.01,4.08
40,985723,4006437.2,290,4.08,4.14,4.04,4.06
41,4504355,17732895.82,942,4.05,4.05,3.84,3.94
42,3017526,11885623.42,554,3.86,3.99,3.86,3.94
43,8248366,32327239.71,452,3.91,4.0,3.86,3.92
44,2175477,8684205.15,368,3.96,4.04,3.95,3.99
45,1518773,6150972.0,420,4.0,4.08,3.99,4.05
46,1841216,7563385.04,367,4.08,4.16,4.06,4.11
47,3993906,16569325.32,860,4.09,4.19,4.09,4.15
48,3645000,14709683.43,713,4.1,4.11,3.98,4.04
49,7830493,30799718.27,1060,4.02,4.02,3.89,3.93
50,1803784,7140704.61,376,4.02,4.02,3.92,3.96
51,2709149,10531991.67,544,3.94,3.94,3.86,3.89
52,2018856,7818852.16,643,3.92,3.97,3.82,3.87
53,2549974,9637122.01,622,3.82,3.85,3.71,3.78
54,5171523,20056413.22,731,3.98,3.98,3.83,3.88
55,1253967,4862192.88,327,3.92,3.92,3.82,3.88
56,1889847,7282230.15,380,3.88,3.9,3.81,3.85
57,3239749,12206362.11,635,3.82,3.84,3.73,3.77
58,1264593,4780315.04,335,3.76,3.81,3.74,3.78
59,1622774,6119995.81,485,3.79,3.81,3.71,3.77
60,1045099,3841527.86,313,3.75,3.77,3.63,3.68
61,1925041,7085230.71,396,3.69,3.74,3.65,3.68
62,1553631,5758545.29,498,3.71,3.75,3.69,3.71
63,2341039,8603434.36,369,3.7,3.7,3.66,3.68
64,1730769,6462076.5,341,3.68,3.79,3.68,3.73
65,760898,2836693.24,207,3.73,3.74,3.69,3.73
66,1343987,5040780.34,268,3.72,3.78,3.71,3.75
67,2847751,10855105.61,447,3.76,3.84,3.76,3.81
68,2592790,10086221.05,510,3.78,3.96,3.78,3.89
69,6023030,24557378.13,1203,3.94,4.15,3.94,4.08
70,3349967,14001957.16,671,4.13,4.24,4.1,4.18
71,2582370,10712053.86,599,4.2,4.2,4.1,4.15
72,949839,3945195.81,234,4.19,4.22,4.1,4.15
73,2672405,10930048.65,533,4.15,4.15,4.04,4.09
74,789467,3246989.53,325,4.09,4.16,4.07,4.11
75,1207566,5002511.23,332,4.15,4.22,4.08,4.14
76,1263202,5172099.91,289,4.08,4.14,4.06,4.09
77,1687126,6861444.25,424,4.1,4.11,4.02,4.07
78,1420745,5712540.55,460,4.05,4.08,3.98,4.02
79,1496110,6052721.57,349,4.08,4.12,4.02,4.05
80,2057611,8193188.78,372,4.0,4.05,3.95,3.98
81,2027113,8009864.56,295,3.98,4.01,3.88,3.95
82,1616697,6451052.05,358,3.97,4.04,3.94,3.99
83,3640718,14932649.14,662,3.99,4.14,3.99,4.1
84,2457390,10115689.47,377,4.12,4.14,4.08,4.12
85,2067524,8500207.18,332,4.1,4.14,4.09,4.11
86,691655,2842059.0,201,4.08,4.14,4.07,4.11
87,1180622,4775299.74,283,4.09,4.09,4.02,4.04
88,5979896,24122396.76,598,4.04,4.13,3.97,4.03
89,8315977,34445762.36,592,4.07,4.18,4.07,4.14
90,6229625,25832574.6,826,4.13,4.19,4.09,4.15
91,7043841,29753654.32,1009,4.16,4.28,4.16,4.22
92,4337300,18275794.01,614,4.24,4.27,4.17,4.21
93,2149314,8983575.11,297,4.22,4.22,4.15,4.18
94,1043230,4372673.73,215,4.2,4.22,4.17,4.19
95,2318862,9648769.88,388,4.17,4.19,4.12,4.16
96,1136774,4652252.63,206,4.15,4.15,4.06,4.09
97,1747140,7095022.6,382,4.07,4.12,4.0,4.06
98,4119520,17171803.84,589,4.09,4.23,4.09,4.17
99,3700411,15296384.82,506,4.17,4.21,4.1,4.13
100,12868801,55059734.65,1503,4.15,4.37,4.15,4.28
101,2038683,8724538.25,447,4.3,4.32,4.25,4.28
102,3098960,13062214.33,523,4.26,4.3,4.15,4.22
103,2866835,11800561.98,444,4.2,4.2,4.09,4.12
104,2720555,10968784.94,556,4.05,4.1,3.97,4.03
105,1740797,7016747.0,411,3.97,4.11,3.92,4.03
106,12451712,50079736.77,543,4.03,4.1,3.99,4.02
107,4174801,16622587.3,520,3.94,4.06,3.93,3.98
108,4215168,16849673.77,335,4.0,4.07,3.94,4.0
109,5719421,21438153.37,443,3.96,3.96,3.67,3.75
110,1275086,4918374.11,324,3.72,3.91,3.71,3.86
111,952147,3626219.18,204,3.84,3.9,3.75,3.81
112,2318141,8968466.45,308,3.8,3.92,3.8,3.87
113,772839,3028371.6,201,3.93,4.0,3.85,3.92
114,2676282,10436211.63,264,3.89,3.94,3.85,3.9
115,4893183,19142545.14,358,3.9,3.97,3.85,3.91
116,2045072,7974841.0,222,3.93,3.94,3.85,3.9
117,903233,3554783.11,168,3.85,3.97,3.85,3.94
118,2721005,10810038.99,546,3.92,4.04,3.9,3.97
119,2680408,10724010.23,281,4.03,4.04,3.97,4.0
120,1888574,7583679.08,233,4.0,4.06,4.0,4.02
121,436899,1759709.7,102,3.98,4.05,3.87,4.03
122,4174475,17763684.64,672,4.0,4.39,4.0,4.26
123,2379956,10018292.86,489,4.25,4.27,4.14,4.21
124,4991212,23106798.19,197,4.33,4.63,4.33,4.63
125,5848953,26679546.03,813,5.09,5.09,4.4,4.56
126,3541295,15152675.36,547,4.45,4.45,4.2,4.28
127,2480083,11137624.28,487,4.4,4.59,4.17,4.49
128,5080747,23721211.03,679,4.55,4.79,4.47,4.67
129,2162497,9953751.94,384,4.63,4.8,4.53,4.6
130,1938429,8989882.76,401,4.6,4.69,4.5,4.64
131,1615347,7521398.4,351,4.61,4.73,4.57,4.66
132,2310210,11032834.65,362,4.7,4.81,4.7,4.78
133,1608696,7633541.34,452,4.8,4.84,4.69,4.75
134,1855038,8880090.53,315,4.66,4.81,4.66,4.79
135,2520013,12310678.7,377,4.8,4.92,4.8,4.89
136,2129120,10453720.56,290,4.91,4.95,4.88,4.91
137,3319340,15781820.91,454,4.85,4.86,4.65,4.75
138,1198101,5721360.58,260,4.63,4.85,4.63,4.78
139,244151,1167014.75,87,4.81,4.88,4.75,4.78
140,774364,3672462.43,178,4.73,4.81,4.7,4.74
141,835213,3978448.09,175,4.77,4.79,4.71,4.76
142,1092309,5208298.74,311,4.71,4.81,4.7,4.77
143,843610,4043246.31,145,4.79,4.8,4.74,4.79
144,3505051,17278946.2,458,4.75,4.97,4.75,4.93
145,3403600,16882758.35,409,4.92,5.02,4.86,4.96
146,2156561,10783824.61,390,4.91,5.03,4.91,5.0
147,3266019,16232834.36,478,5.0,5.01,4.95,4.97
148,4180232,21278510.07,845,5.0,5.2,4.98,5.09
149,1795754,9293150.82,420,5.2,5.24,5.1,5.18
150,2904323,14767016.04,522,5.07,5.2,4.96,5.08
151,3810282,18543380.1,594,4.98,5.05,4.78,4.87
152,3654793,17770114.71,608,4.85,4.93,4.82,4.86
153,2321003,11511987.67,414,4.95,5.0,4.92,4.96
154,1130641,5588120.31,255,4.94,5.0,4.9,4.94
155,3505475,17554684.04,407,4.93,5.03,4.93,5.01
156,3329971,16920411.63,493,5.0,5.11,5.0,5.08
157,3188845,16054670.64,457,5.1,5.1,4.98,5.03
158,2864884,13989025.9,532,4.95,5.0,4.83,4.88
159,1252135,6073631.69,290,4.85,4.9,4.76,4.85
160,1058027,5197830.62,337,4.91,4.95,4.86,4.91
161,1858073,9155523.93,269,4.96,5.07,4.85,4.93
162,828484,4018895.54,202,4.85,4.9,4.8,4.85
163,1302436,6233297.28,327,4.84,4.87,4.76,4.79
164,3312855,15529781.88,565,4.75,4.82,4.6,4.69
165,1844871,8598042.44,385,4.62,4.76,4.6,4.66
166,1364591,6410339.76,192,4.64,4.73,4.63,4.7
167,2360172,11108552.69,358,4.65,4.81,4.63,4.71
168,6784750,33540935.09,870,4.9,5.02,4.81,4.94
