,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
0,742192,10760813.36,346,14.2,14.58,14.2,14.5
1,659245,9540410.34,400,14.36,14.54,14.3,14.47
2,657748,9532597.93,348,14.35,14.52,14.35,14.49
3,762240,11182074.69,538,14.48,14.93,14.32,14.67
4,838660,12528344.92,592,14.89,15.11,14.77,14.94
5,548444,8018909.83,541,15.25,15.25,14.55,14.62
6,200979,2929120.96,229,14.52,14.61,14.5,14.57
7,244340,3571166.25,259,14.54,14.72,14.5,14.62
8,843646,12276511.53,524,14.59,14.67,14.42,14.55
9,1104183,16200657.21,364,14.6,14.85,14.59,14.67
10,870773,12693914.14,252,14.7,14.8,14.31,14.58
11,851910,12310446.72,442,14.5,14.6,14.21,14.45
12,1371562,19632491.98,378,14.2,14.4,14.2,14.31
13,501996,7277903.81,322,14.35,14.78,14.35,14.5
14,475211,6871622.79,527,14.35,14.66,14.35,14.46
15,1027338,15218868.32,374,14.4,15.0,14.3,14.81
16,1164047,17019700.6,309,15.0,15.0,14.5,14.62
17,1617161,23263977.45,495,14.53,14.85,14.2,14.39
18,192336,2789490.77,151,14.47,14.6,14.4,14.5
19,449035,6509856.01,239,14.46,14.6,14.3,14.5
20,309431,4526635.87,229,14.62,14.7,14.39,14.63
21,970171,14358799.69,436,14.63,15.0,14.6,14.8
22,345853,5118184.95,171,14.8,14.99,14.69,14.8
23,519977,7587448.89,304,14.61,14.88,14.41,14.59
24,232992,3415822.76,171,14.43,14.8,14.43,14.66
25,253788,3707274.09,219,14.53,14.68,14.53,14.61
26,727145,10698526.99,344,14.46,14.77,14.45,14.71
27,570549,8421326.06,184,14.64,14.8,14.62,14.76
28,957780,14079131.14,206,14.67,14.73,14.62,14.7
29,627777,9226652.72,266,14.61,14.8,14.6,14.7
30,332267,4857362.71,216,14.79,14.79,14.57,14.62
31,259895,3798097.01,197,14.6,14.7,14.59,14.61
32,632396,9242738.16,435,14.55,14.7,14.51,14.62
33,631919,9211551.79,462,14.52,14.65,14.46,14.58
34,929027,13603403.49,428,14.5,14.76,14.5,14.64
35,509985,7422342.39,260,14.61,14.69,14.26,14.55
36,169751,2432546.5,210,14.32,14.55,14.25,14.33
37,153564,2192058.8,191,14.33,14.4,14.2,14.27
38,446284,6282762.09,344,14.29,14.29,13.82,14.08
39,658964,9150617.13,557,13.9,14.21,13.63,13.89
40,754191,10403839.61,233,13.5,13.81,13.5,13.79
41,969771,13346097.03,363,13.89,13.89,13.5,13.76
42,259073,3513093.52,189,13.61,13.69,13.43,13.56
43,752699,10195835.78,208,13.5,13.6,13.43,13.55
44,963346,13056646.21,407,13.52,13.65,13.5,13.55
45,200165,2715634.58,164,13.6,13.6,13.52,13.57
46,936472,12819302.35,674,13.62,13.8,13.59,13.69
47,550300,7516188.77,451,13.7,13.8,13.56,13.66
48,1057414,14250759.3,514,13.65,13.65,13.37,13.48
49,971714,12859852.61,453,13.5,13.5,13.11,13.23
50,265901,3518480.29,266,13.38,13.38,13.17,13.23
51,486422,6415323.59,331,13.13,13.25,13.1,13.19
52,709321,9297542.58,560,13.2,13.3,13.0,13.11
53,972173,12715715.87,193,13.06,13.1,13.02,13.08
54,611134,7991420.87,341,13.15,13.17,13.01,13.08
55,189506,2483964.44,141,13.05,13.26,13.05,13.11
56,535587,6977955.24,223,13.14,13.14,12.97,13.03
57,390943,5041956.5,335,13.02,13.05,12.82,12.9
58,877145,11417819.38,464,13.0,13.1,12.94,13.02
59,489296,6476564.22,353,13.5,13.5,13.1,13.24
60,164823,2161814.11,192,13.2,13.34,13.0,13.12
61,304775,4014434.48,255,13.17,13.24,13.01,13.17
62,323074,4255016.24,318,13.12,13.22,13.01,13.17
63,627696,8243636.53,402,13.3,13.3,13.06,13.13
64,468253,6200465.69,299,13.2,13.29,13.2,13.24
65,294854,3893844.14,206,13.29,13.29,13.14,13.21
66,478833,6365447.95,262,13.09,13.4,13.09,13.29
67,951653,12811239.06,628,13.39,13.56,13.38,13.46
68,512665,6972690.63,366,13.52,13.69,13.52,13.6
69,267828,3653772.73,204,13.6,13.7,13.55,13.64
70,851191,11691487.25,366,13.62,13.85,13.6,13.74
71,319558,4345947.89,273,13.71,13.71,13.56,13.6
72,578600,7884334.2,424,13.57,13.75,13.55,13.63
73,691413,9472331.08,388,13.7,13.8,13.6,13.7
74,786734,10808025.29,430,13.75,13.84,13.67,13.74
75,672445,9299216.9,424,13.72,13.89,13.72,13.83
76,1353270,17061030.46,671,13.85,13.85,12.45,12.61
77,760960,9614465.86,384,12.6,12.75,12.56,12.63
78,783666,9869443.04,419,12.6,12.69,12.51,12.59
79,752813,9488038.32,274,12.61,12.65,12.56,12.6
80,192272,2420634.27,224,12.5,12.62,12.5,12.59
81,374580,4730599.38,239,12.6,12.71,12.57,12.63
82,630499,7976669.58,343,12.63,12.75,12.6,12.65
83,796110,10380060.26,458,12.75,13.25,12.75,13.04
84,322084,4233121.82,213,13.06,13.2,13.06,13.14
