SYMBOL_CODE,TRADE_DATE,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
EGS48031C016,12/3/2017 0:00,579869,7803134.85,261,13.5,13.52,13.4,13.46
EGS48031C016,12/4/2017 0:00,1084428,14453367.37,440,13.46,13.5,13.21,13.33
EGS48031C016,12/5/2017 0:00,1300855,17044209.18,451,13.43,13.44,12.95,13.1
EGS48031C016,12/6/2017 0:00,3284249,44140858.61,726,13.24,13.6,13.24,13.44
EGS48031C016,12/7/2017 0:00,1293859,17514214.54,522,13.4,13.66,13.31,13.54
EGS48031C016,12/10/2017 0:00,571676,7636758.71,243,13.49,13.5,13.21,13.36
EGS48031C016,12/11/2017 0:00,343075,4602662.26,140,13.27,13.51,13.27,13.42
EGS48031C016,12/12/2017 0:00,1214438,16507488.47,390,13.51,13.68,13.44,13.59
EGS48031C016,12/13/2017 0:00,3762076,52051563.41,1167,13.56,14.01,13.56,13.84
EGS48031C016,12/14/2017 0:00,3620827,49541798.5,567,13.82,13.82,13.56,13.68
EGS48031C016,12/17/2017 0:00,944144,13024372.67,241,13.6,13.98,13.55,13.79
EGS48031C016,12/18/2017 0:00,819097,11001666.18,298,13.75,13.75,13.35,13.43
EGS48031C016,12/19/2017 0:00,784204,10478057.27,370,13.44,13.58,13.2,13.36
EGS48031C016,12/20/2017 0:00,253215,3410688.47,145,13.4,13.55,13.31,13.47
EGS48031C016,12/21/2017 0:00,572858,7577005.71,330,13.48,13.5,13.02,13.23
EGS48031C016,12/24/2017 0:00,155318,2069131.19,159,13.1,13.45,13.1,13.32
EGS48031C016,12/25/2017 0:00,3062782,42551770.77,842,13.44,14.03,13.3,13.89
EGS48031C016,12/26/2017 0:00,364077,5028239.36,142,13.8,13.9,13.68,13.81
EGS48031C016,12/27/2017 0:00,610672,8207441.74,242,13.62,13.65,13.36,13.44
EGS48031C016,12/28/2017 0:00,525026,7102266.77,256,13.4,13.68,13.4,13.53
EGS48031C016,12/31/2017 0:00,621441,8337761.07,236,13.51,13.51,13.38,13.42
