SYMBOL_CODE,TRADE_DATE,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
EGS33041C012,12/3/2017 0:00,835846,15046968.35,417,17.7,18.18,17.6,18
EGS33041C012,12/4/2017 0:00,1333520,24205807.32,468,18.01,18.4,17.9,18.15
EGS33041C012,12/5/2017 0:00,588643,10477623.9,133,17.6,17.9,17.55,17.8
EGS33041C012,12/6/2017 0:00,176272,3059919.18,129,17.61,17.66,17.25,17.36
EGS33041C012,12/7/2017 0:00,70145,1202169.38,71,17.21,17.29,17,17.14
EGS33041C012,12/10/2017 0:00,477953,8152483.35,63,17,17.69,17,17.06
EGS33041C012,12/11/2017 0:00,610839,10656403.89,349,17.4,17.62,17,17.45
EGS33041C012,12/12/2017 0:00,973756,17317938.14,520,17.53,18.2,17.49,17.78
EGS33041C012,12/13/2017 0:00,287699,5112916.98,124,17.95,18.1,17.4,17.77
EGS33041C012,12/14/2017 0:00,704573,12334324.63,173,17.99,17.99,17.2,17.51
EGS33041C012,12/17/2017 0:00,89537,1575832.87,70,17.51,17.8,17.51,17.6
EGS33041C012,12/18/2017 0:00,544845,9593806.56,210,17.8,18,17.5,17.61
EGS33041C012,12/19/2017 0:00,286827,4986635.06,78,17.51,17.51,17.1,17.39
EGS33041C012,12/20/2017 0:00,102069,1750950.52,71,17.48,17.5,16.9,17.15
EGS33041C012,12/21/2017 0:00,16879,289877.98,14,17.2,17.3,17,17.17
EGS33041C012,12/24/2017 0:00,16155,274659.15,12,17.29,17.29,16.95,17
EGS33041C012,12/25/2017 0:00,86451,1463043.72,69,17.01,17.3,16.8,16.92
EGS33041C012,12/26/2017 0:00,66318,1123765.51,42,17.29,17.29,16.77,16.95
EGS33041C012,12/27/2017 0:00,34476,573370.7,35,16.69,16.7,16.56,16.63
EGS33041C012,12/28/2017 0:00,422490,7085798.16,80,16.61,16.9,16.6,16.77
EGS33041C012,12/31/2017 0:00,13535,224549.7,26,16.76,16.76,16.5,16.59
