SYMBOL_CODE,TRADE_DATE,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
EGS3C181C012,12/3/2017 0:00,8500,237234.5,20,27.61,28,27.12,27.91
EGS3C181C012,12/4/2017 0:00,2760,77859.4,8,28,28.9,28,28.21
EGS3C181C012,12/5/2017 0:00,10651,290811.21,24,28,28,27,27.3
EGS3C181C012,12/6/2017 0:00,800,21648,2,27.09,27.09,27.01,27.06
EGS3C181C012,12/7/2017 0:00,200,5414.34,3,27.11,27.11,27.04,27.06
EGS3C181C012,12/10/2017 0:00,100,2800,2,28,28,28,27.06
EGS3C181C012,12/11/2017 0:00,45528,1231929.72,47,26.9,27.07,26.9,27.06
EGS3C181C012,12/12/2017 0:00,22648,612764.29,19,27.06,27.06,26.9,27.06
EGS3C181C012,12/13/2017 0:00,3465,91661.6,11,27.06,27.06,26.3,26.45
EGS3C181C012,12/14/2017 0:00,9891,266904.63,6,26.21,27,26.21,26.98
EGS3C181C012,12/17/2017 0:00,2150,56630.89,12,26.4,26.4,26.2,26.34
EGS3C181C012,12/18/2017 0:00,8624,226862.55,10,26.34,26.38,26.13,26.31
EGS3C181C012,12/19/2017 0:00,2840,74213.05,7,26.97,26.97,26,26.13
EGS3C181C012,12/20/2017 0:00,1060,28188.8,9,26.97,27.56,25.5,26.59
EGS3C181C012,12/21/2017 0:00,3110,78917.6,9,25.51,26.5,25,25.38
EGS3C181C012,12/24/2017 0:00,6095,153015.35,12,25.1,25.5,25,25.11
EGS3C181C012,12/25/2017 0:00,628,15555.56,1,24.77,24.77,24.77,24.77
EGS3C181C012,12/26/2017 0:00,4685,115525.55,11,24.86,25,24,24.66
EGS3C181C012,12/27/2017 0:00,16299,391556,24,24,24.9,23.99,24.02
EGS3C181C012,12/28/2017 0:00,2456,58242.34,11,23.8,24.85,23.6,23.71
EGS3C181C012,12/31/2017 0:00,2632,64041.5,5,23.9,24.47,23.9,24.33
